id,name,rating,position,height,foot,rare,pace,shooting,passing,dribbling,defending,heading,diving,handling,kicking,reflexes,speed,positioning
1001, Gábor Király,69,GK,191, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
100143, Frederik Boi,65,M,184, Right,0,61,65,61,61,65,61,61,65,61,61,65,61
100264, Tomasz Szewczuk,57,A,185, Right,0,65,54,65,65,54,65,65,54,65,65,54,65
100325, Steeve Joseph-Reinette,63,D,180, Left,0,68,38,68,68,38,68,68,38,68,68,38,68
100326, Kamel Chafni,72,M,181, Right,0,75,64,75,75,64,75,75,64,75,75,64,75
100329, Abdoulaye Faye,72,D,187, Right,1,50,37,50,50,37,50,50,37,50,50,37,50
100330, José Saez,67,M,170, Right,0,53,60,53,53,60,53,53,60,53,53,60,53
100391, Laurent Delorge,67,M,179, Right,0,76,58,76,76,58,76,76,58,76,76,58,76
100521, David Noble,64,M,183, Right,1,62,52,62,62,52,62,62,52,62,62,52,62
100522, Dominic Foley,62,A,186, Left,1,34,65,34,34,65,34,34,65,34,34,65,34
100557, Brian Barry-Murphy,60,M,185, Left,0,61,54,61,61,54,61,61,54,61,61,54,61
100559, Paul McKenna,68,M,170, Right,0,53,65,53,53,65,53,53,65,53,53,65,53
100574, Paweł Abbott,59,A,187, Right,0,51,60,51,51,60,51,51,60,51,51,60,51
100578, Richard Cresswell,66,A,183, Right,1,56,63,56,56,63,56,56,63,56,56,63,56
100580, David Healy,69,A,173, Right,0,64,72,64,64,72,64,64,72,64,64,72,64
100585, Dickson Etuhu,75,M,188, Right,1,59,55,59,59,55,59,59,55,59,59,55,59
100670, Ashley Westwood,54,D,183, Right,0,47,26,47,47,26,47,47,26,47,47,26,47
100701, Paul Ifill,70,A,180, Right,0,72,65,72,72,65,72,72,65,72,72,65,72
100707, David Artell,59,D,188, Right,0,48,27,48,48,27,48,48,27,48,48,27,48
100743, Martin Rowlands,64,M,175, Right,1,52,60,52,52,60,52,52,60,52,52,60,52
100745, Paul Smith,64,GK,193, Right,1,0,0,0,0,0,0,0,0,0,0,0,0
100751, Kevin O'Connor,59,D,180, Right,0,53,48,53,53,48,53,53,48,53,53,48,53
100756, Stephen Hunt,56,D,185, Left,0,67,32,67,67,32,67,67,32,67,67,32,67
100758, Jay Tabb,63,M,170, Left,1,69,58,69,69,58,69,69,58,69,69,58,69
100792, Brynjar Gunnarsson,61,M,183, Right,0,34,54,34,34,54,34,34,54,34,34,54,34
100798, James O'Connor,63,M,173, Right,0,61,53,61,61,53,61,61,53,61,61,53,61
100803, Karl Henry,71,M,185, Right,0,55,57,55,55,57,55,55,57,55,55,57,55
100804, Gareth Owen,62,D,185, Left,0,61,19,61,61,19,61,61,19,61,61,19,61
100806, Kris Commons,75,M,168, Left,0,79,74,79,79,74,79,79,74,79,79,74,79
100807, Stefanos Kotsolis,65,GK,190, Right,0,0,0,0,0,0,0,0,0,0,0,0,0
100889, Louis Carey,67,D,178, Right,0,45,31,45,45,31,45,45,31,45,45,31,45
100899, Steve Phillips,61,GK,185, Right,1,0,0,0,0,0,0,0,0,0,0,0,0
100907, Danny Coles,62,D,185, Right,0,70,32,70,70,32,70,70,32,70,70,32,70
